@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@data
' Bright moonlight later may hamper auroral observations, but Jupiter and the Moon are very close tonight. ',neutral
' Looking fwd to my 14s first hit out against DV tonight. Derby tmrw, rest Sunday, birthday Monday. I can smell you long weekend it s so good ',positive
' Tomorrow shift is at 11:30 AM to 08:30 PM . After work , i m going to H&M for awhile . And , is it still open ? ',neutral
' TEAM NEWS: Moussa Dembele, Emmanuel Adebayor and Gareth Bale will all miss the game tomorrow against Maribor. #THFC ',objective
' envy everyone going to the Big Bang shows tomorrow and Saturday. ;_; ',neutral
' Glad im going to Greenville tomorrow night tho ',positive
' im only a few months away from leaving 8th grade and i alrady know wat university im going to to Its going to be the University of Denver ',neutral
' So I haven t seen this friend since 7th grade and I just found out she s in the Covina band! They go to Utah! ',neutral
' #nowplaying Linkin Park - Lost in the Echo. I probably haven t listened to them since the 5th grade but this song is actually pretty good. ',positive
' Can you all send Get well soon messages to Tressa she is the co-owner and she broke her leg and tomorrow is her Birthday ',neutral
' DEPARTURE of ship: JUMBO SPIRIT Port: ABU DHABI Time: Nov 2 2012 4:49AM (UTC) (Time of arrival/departure is the time the vessel a... ',objective
' @ptmediaweb We many not to get watch any NHL games, but we can watch Evgeni Malkin and Alex Ovechkin in the KHL! http://espn.go.com/nhl/story/_/id/8466483/seven-kontinental-hockey-league-games-slated-espn3-october … ',neutral
' MayorOfLondon: Join in tomorrow at the exciting London Children s Book Swap events for families who love to read #LD... http://ht.ly/1hCB0p  ',positive
' Christianity isn t just a Sunday thing ',objective
' Back and forth at Baylor Ballpark. Dan Evatt 2 RBI single gives #Baylor a 6-5 lead over Texas A&M in the bottom of the 6th. ',objective
' Sonic on OST is the worst place in 3rd ward! ',negative
' Bowling Kifan ',positive
' @Nonagon7 I think the tapes are March/April while Soundwave is Dec ',neutral
' Cold cold cold but the sun is rising over Twickers. pic.twitter.com/5XC9tjCb ',objective
' 8th Day on a flight to university of Denver!! Check out who is in the seat near the band!! They call him Milton. pic.twitter.com/vlPdWPRQ ',neutral
' CBS2-A clip of the beautiful Viola Davis...guest on tomorrow s @TheTalk_CBS. Watch at five! #thetalk ',neutral
' Nipsey hussle and dom Kennedy this sat @ShesRuthless you down? ',neutral
' ABC: Ricky Ponting and Luke Butterworth made Wednesday a tough day at the office for South Australia in their Sh... http://bit.ly/QU4Slb  ',negative
' I never watch the Oscars, but with Seth MacFarlane hosting, I may have to actively campaign to get other people to not watch them either. ',negative
' @KyleGeller10 @flybirds27 well he should come. But carmen hates sports games :p ',negative
' DealBook: Clearwire Is Sought by Sprint for Spectrum: Sprint disclosed on Thursday that it had offered to buy a ... http://bit.ly/Vj09yT  ',neutral
' @MattJonesCBB will KY play in Rupp for the 2 and 3rd rounds of the tournament. Plz reply ',neutral
' @TCFever and Wichita Wild still tied 14-14 at the end of the 1st quarter. @KAPPKVEW ',neutral
' Are you all ready for Roger Sanchez this Friday at HQ Nightclub!!! HMU at 609-335-3062 for table reservations and details!!!! ',positive
' @pabsty27 Member Monday for Prelim v Crows from 9am-9pm tomorrow through Ticketek. 4 tickets per barcode with max of 8 in a transaction ',neutral
' Anyone going to the ASAP concert tomorrow? ',neutral
' @Mr_Knight92 KLUB ACE!!! Klub ACE !!!! This SATURDAY!!! $5 with ur college id til 11:30...South after Party ',objective
' #Spurs striker Emmanuel Adebayor will miss Thursday s #UEL game against #Lazio with a hamstring injury. ',objective
' Sun flower seeds are just to delicious ',positive
' The Donkey Show - Friday the 13th is an exciting day for the Adrienne Arsht Center of the Performing Arts in... http://tmblr.co/Z5tIxuPH5wkp  ',positive
' SPECIAL Conference Call tomorrow the 7th at 7:30 PST - 10:30 EST Featuring Doug Wead! Doug is going to give us a... http://fb.me/tZO3IJFA  ',positive
' Keith Richards means nothing to Monday night and is awful, cant we all just forgive Hank Jr!?! ',negative
' Great...we had tickets to see the PREDS on the 29th & now the games have been cancelled. #NHLlockout ',negative
' Come join in all the fun at The Great Pumpkin Hunt at Rosedale Gardens this Saturday! ',positive
' Tiffany, CNBLUE s Yonghwa and B2ST s Kikwang will MC for the SBS K-Pop Super Concert in America on Nov 10: http://on.fb.me/X33RMQ  ',objective
' This Saturday! Come see what it s like to train for the NFL Combine at Body Space Fitness. Click the link below... http://fb.me/1h8VDgxKk  ',neutral
' The show on Sunday is at the House Of Blues in Cleveland. The photo was taken at Water Street Music Hall in Rochester :/ #HappyHalloween ',neutral
' Definately getting my #GlobalGathering tickets for next year soon, gunnah be fiiiilthy #ElectornicDirt ',negative
' All black tonight . 1st Carroll & Richwood game ... ',objective
' World Bank to lend to Burma for the 1st time in 25 years - BBC News #Burma http://www.bbc.co.uk/news/business-20176841 … ',objective
' FM Preview: Derby County v Peterborough United 28 Apr 2012 - FootyMad attempt to assist you with their form guide as... http://ow.ly/1j9zEq  ',neutral
' @blakemeacake15 don t eat until friday between the hours of 5-10 and go to ricks cafe in randolph to get food, ya dig? ',neutral
' Kevin Bacon, Paul Rudd and 8 Other Stars to Appear in Friday the 13th or Halloween Movies: Guess which famous fa... http://bit.ly/W2b00w  ',neutral
' May or may not be in the same building as viola Davis right now #nbd ',neutral
' Fucking stoked to hang out with my girl Thalia tomorrow night. Haven t seen her in ages. ',positive
'  Really good day  as Danica Patrick finishes 10th at Kansas Nationwide race - NASCAR News | FOX Sports on MSN... http://bit.ly/TctrgG  ',positive
' Asap....come to my house tomorrow and entertain me instead of everyone else going to the concert. ',neutral
' Damn Rivergate Skate Center used 2 b the spot to b on Friday the 13th. ',neutral
' Ferry Corsten at Space tonight ahhhhhhhhhh think I may just have to go for one after work ;) ',neutral
' Anyone heading to H&M on Thurs to shop the Fashion v AIDS collection? Sneak Peek here: http://bit.ly/JrjS8F  via @CollegeFashion ',objective
' Forget the garlic, the soup is DISGUSTING! Thanks for nothing, Saturday Kitchen. ',negative
' There are still spots available for "Happiest Baby on the Block" this Sunday! http://fb.me/1AhHPpykq  ',positive
' @vickinotaro And are you getting dogs? Scream!!! ',neutral
' LIPA 4:19 http://bit.ly/M3mYM4  beat the bad weather join us for our taster sessions wed and thurs at Joseph wright centre ',positive
' I m happy my 1st showing is at 3pm today... Ritz Carlton... Let s sell it! #TomiRoseTeam ',positive
' Agenda for Sydney: Sydney Harbour Bridge Climb, Halloween Cruise in the Harbour, Opera House, Blue Mountains, Bondi Beach and so much more! ',positive
' I m going to Romeo Santos at ESTADIO OLIMPICO in Santo Domingo, Dominican Republic - Dec 15 http://bnds.in/KL8mTm  ',objective
' Petrolia art in the Park is tomorrow and Saturday! We will be set up in front of Mercantile Co. on Petrolia Line across from the park! ',neutral
' @RFelich if you re tryna go north on Iowa there s a bad accident down by 6th street... ',negative
' @rdew925 @ErieOtters are having @MonstersHockey day Saturday. Want to go? Avs prospect Michael Clarke plays for Windsor. ',objective
' Today is the las day to buy Big Krit/ Slim Thugg tickets for their show in Starkville tomorrow @ Ricks Cafe ',objective
' Sport: Calling ALL Tayside football fans! The #wave102footballphonein kicks off at 6pm on Wednesday! join the debate! #DUFC #dfc #SPL ',objective
' Utah is NBA deepest team. Great job by O Connor. Dumped Harris. Added Mo & Marvin Williams;(finally arrived. Kept Tinsley. Nets tried b4 CJ. ',neutral
' And kris  airport runaway x3 "@RLAdeer: tomorrow exo m will go to nanjing.. yeah! I ll see luhan s hair.. is it true that his hair now is bl ',neutral
' - Grassroots racing at its best returns to Marana on Saturday, October 27, at the Gladden Farms 10K an http://ow.ly/2squbr  ',positive
' I just stumbled across a video montage on some tv channel of clips of Camilla Parker Bowles set to Uptown Girl. So..that s my Saturday. You? ',objective
' Cannot wait to meet @therealjuicyj and @RealWizKhalifa with @Hill_Gonzz November 29th #trippyniqqas ',objective
' Review : black friday 2012 Maxxima MLN-10 LED Night Light with Sensor (Pack of 4): Find, shop, See Reviews , bu... http://bit.ly/Tgc4br  ',neutral
'  Edgar Davids pulled on his boots to lead bottom of League 2 Barnet to their first win of the season on Friday night  http://www.dailymail.co.uk/sport/football/article-2220425/Edgar-Davids-makes-Barnet-debut-Northampton-win.html … ',neutral
' Economic TimesWashing hands will keep the doctor awayDAWN.comISLAMABAD, Oct 15: The World Bank s Strategic Environmental Assessment r... ',neutral
' It official, I will not be flying to Raleigh, NC tomorrow. I m saddened. I pray my UPPC family has an awesome time in the LORD. #Praying ',negative
' Tracking Texas A&M Football Players in the 2012 NFL Draft: Texas A&M may have the biggest surprise of the 2012 N... http://bit.ly/K1lQN1  ',positive
' Mommy brought me some red velvet cupcakes! And im gonna play football tomorrow morning with daddy, bella, and jarvey! Yayy family. ',positive
' Also...Sun Belt barn burner on the U...MTSU just took a kick to the house to go up 34-27 on Western Kentucky @RmJackson13 #MTSU ',neutral
' @ClAmAtaDOrE Just like the sun and the stars and the sea ,true love will go on through eternity.Sweetheart you are my super star.Kisses,Star ',positive
' #Sale Mary Green Silk Just Married Boyshort Reviews: Here is the one of best product may you have Mary ... http://bit.ly/YqZyck  #Fashion ',positive
' I regularly drink THWAITES Best at the Welly on a Monday. Nectar. In The Fox @ Twickers, utter shite. ',neutral
' "@ForeverBayBay: Just watched the Pursuit of Happiness for the 1st time. I love it." Good Deeds by tyler perry is the girl version ',positive
' Really enjoyed PJ Harvey tonight - contrary to expectations. Even the black feather head-dress wasn t too OTT. ',positive
' @CTVNationalNews s Lloyd Robertson set to sign off tonight after 41 years as a national news anchor. ',objective
' My dad just told me he really wants to go see Final Destination 5 on Friday. Wow.. #wasntexpectingthat ',positive
' +1 RT @FoodPrincess Wonderful company and gr8 food in Chinatown last night with tour guide @ziggysmogdust , @jaypfrancis & Irene ',positive
' @jasonmanns You Sir are the REAL rock star.I was just trying to bring out my inner "Manns" last night at the Karaoke Party. See u soon bud! ',positive
' Steve Jobs biography may be available in time for the iPad 3 http://ow.ly/1eg68b  ',objective
' I officialy hate Windows 7, it just sucks on my laptop. Back to XP tomorrow! (and also a huge delay for the movie again :/, was so close!) ',negative
' Final Destination 5? Pretty sure "final" means the last one...not the 5th one. ',negative
' Got email saying my copy of Deus Ex is on it s way. If it arrives tomorrow I will literally stay up all night playing it. No joke. ',positive
' Hmm.. Sby deh. RT @tujukutu: Kung Fu Panda 2 (in 2D & 3D, both with Indonesian subtitles) tentatively scheduled to open on Tues 16 August ',objective
' i would kiss Beyonce s pearl before i go too bedd every night if she wass my wife... ',positive
' Just seen that Four Lions is on C4 on Sunday night for anyone who hasn t seen it yet. So proud of my big brother; the associate producer :) ',positive
' RT @pinkysibbs: I ve got one ticket to the Michael Jackson tribute gig for sale on Oct 8th dm me for details,please RT! ',neutral
' That s really sad, Charlie RT "Until tonight I never realised how fucked up I was" - Charlie Sheen #sheenroast ',negative
' Alexis Sanchez: "Of course I d like to play already on Sunday against Real Madrid. It s true I wanted to join in the US." [via la sexta] ',positive
' Tomorrow is the ELVIS EXTRAVAGANZA! Tune in to 97.1FM at 11am for all the Elvis Presley you can handle. It s gonna be rockin . ',positive
' Listening to Amy and Lucien s attempts at  communication  on last night s Big Brother ... I fear for the future of mankind sometimes. ',negative
' If your still running Windows XP, then it may be time to upgrade to Windows 7 to ensure you receive latest upgrades and support in future ',objective
' Boise State, Chattanooga, Embry-Riddle and Virginia Tech receive their charters tonight, congrats and welcome gentlemen! #duli11 ',positive
' The raiders play the cardinals today let s see how they start off pre-season. Last yr they were weak AF ',neutral
' Inbetweeners top ten moments tonight :D Followed by their road trip. Good night of t.v ahead! ',positive
' Ahhhh! Loving this new IC Champion! Wish I could see it happen this Friday. ): Crossing my fingers that he has a match at Summerslam! ',positive
' Nurgh, there s a stack of new MTA s that need to be dealt with but I just can t be dealing with the crappy new URL thing today D: ',negative
' #WAOK The Sports Kings: UGA Gets Ready For Boise State!: Yesterday No. 19 Georgia scrimmaged against the Bull... http://cbsloc.al/q5Xek0  ',objective
' looking at the temp outside....hpw did it get hotter as the sun goes down???? Feel like i m in Vegas just adding humidity ',negative
' Can t wait for September 6th the new season of Sons of Anarchy starts woo hoo :-) ',positive
' Tomorrow is the 34th anniversary of Elvis Presley s death. I love you, rest in peace. ',positive
' Terrible tragedy today in Russia with the loss of a great KHL team and an NHL great in Pavol Demitra ',negative
' Follow @TransferScoop , they find some good quotes online as it happens!!!!! ',positive
' Why horrible why does the Rugby World Cup have to be here in October? I m gonna be battling my bday, Soul Punk and people running in circles ',negative
' Almost forgot about Celebrity Juice tonight, oh my. What time is it on at guys? ',positive
' A quote from 23 Yrs. ago today -- "Republicans understand the importance of bondage between parent & child."......man, I miss Dan Quayle. ',neutral
' @BenMackintosh good game was just embarrassing ',positive
' Droid Bionic is out today. If any PR reps will send one my way, I ll talk about it here there and... http://tumblr.com/xju4kovjd6  ',objective
' @PGATOUR Tiger Woods is awful. Luckily for him his terrible golf is only going to be seen on TGC today and not CBS - where everyone can see. ',negative
' @chippy_nonstop thanks for coming out again../ I ll be bck in the fall ',positive
' Day 3 in the Big Brother house and it s Ingleton Waterfalls trail today, promises some amazing scenery! ',positive
' Microsoft issues critical patch for Windows 7, Vista users: Microsoft issues light Patch Tuesday, with just one... http://cnet.co/qLgoLP ',objective
' Cant wait to rock "Apologize" by One Republic & "Jesus Freak" by DC Talk tonight gettin redy to rock Sasabo, Japan ',positive
' @samvescovi @Darrenvescovi What are two doing for the Steelers game tomorrow? ',neutral
' Boehner wants president to change speech to Thurs instead of going against #GOP2012 debate. What? Same time as Packers-Saints #NFL opener?!? ',negative
' I would be surprised if Tha Carter IV was anything greater than shit...hope I m proved wrong but the 1st 3 singles are doo doo ',negative
' @Lagana @JohnAsHimself either of you LA guys going to Summerslam on Sunday? ',neutral
' Today has been an AWESOME day! One of the Google engineers posted a tutorial video from our http://GPlusTuts.com  site! What an endorsment! ',positive
' Kung Fu Panda 2 (in 2D & 3D, both with Indonesian subtitles) tentatively scheduled to open on Tues 16 August ^ISK ',objective
' Tomorrow is gonna be like the Super Bowl for the Ravens vs. Steelers game ',positive
' I m bout to just listen to nicki minaj all night ',neutral
' The Raiders are on the field for their Tueday afternoon practice as they get ready to face Arizona Thursday night in Oakland. ',neutral
' Just pre-ordered the Droid Bionic. Pick up from the Verizon store next Friday! :-) (@ Brevard NC) http://4sq.com/r4MXwi  ',positive
' #UFC @JesseSeedath Yushin Okami isn t just Anderson Silva s opponent Saturday night - he s the only... - http://on.fb.me/qxvM6X  ',neutral
' Once again Democrats spent all night and this morning trying to talk down the stock market...whatever happens there can be no blank check! ',negative
' Yayyy!!! RT : @coupleBOOBS: Nicki Minaj - Pink Friday, up 15 places, to #16 on the Official UK Top 40 :) http://twitpic.com/62iohc  ',positive
' It s a stretch but I m picking Yushin Okami tomorrow. Think Anderson s athletic prime has passed and Okami s cashing in at the right time. ',positive
' @LookUppToMe ooh welp thts goood the bball part the social life not so much ',positive
' Sons of Anarchy may be one of the greatest shows on tv right now. Thanks @JamCompadre and Netflix ',positive
' Dindin at my fav restaurant with the boy. Now watching season 3 of Sons of Anarchy. Perfect way to end the night. ',positive
' Great game...tremendous way to start the season. Bring it on and next Sunday Real Madrid v Barcelona. ',positive
' League? RT @JovinhoMorales: I just found that Barcelona and Real Madrid are playing on Sunday... I need sleeping pills... ',negative
' Deus Ex exclusive hands on article going up tonight. Fucking love you twitter followers. ',positive
' UFC 134: Anderson Silva vs. Yushin Okami Gambling Spotlight: A handful of UFC 134 props to make your night a lit... http://bit.ly/r6BaFN  ',objective
' #UFC @JesseSeedath Yushin Okami isn t just Anderson Silva s opponent Saturday night - he s the only... - http://on.fb.me/qxvM6X  ',neutral
' Eww Lady GaGa is at The Femme Fatale Tour tonight. Don t be surprised if you see GaGa using Britney s props on her next tour lol ',negative
' Hope Pj Harvey takes home the mercury tonight! Great record! ',positive
' @IceKold_Tee he s all touching mans tings on telly ',positive
' Tomorrow I m coming back from Barcelona...I don t want! :((( ',negative
' It won t blow u coz its not gay homie, I think you have confused it with steve jobs anyway get on it RT @ahdel… (cont) http://deck.ly/~0gniX ',positive
' Making plans AHEAD of time is best. Friday going to go see Final Destination 5 w/ my mains Gem, Ariana, Brian, Drew, & Rachael. (; ',positive
' President Obama on Thursday named former Microsoft and FCC executive Steven VanRoekel as the new federal Chief Information Officer (CIO). ',objective
' Bisaa RT @blitzmegaplex: Kung Fu Panda 2 (in 2D & 3D, both with Indonesian subtitles) tentatively scheduled to open on Tues 16 August ^ISK ',objective
' Took down all my disney star posters (and Twilight, about time) so I can put up all the HP ones I got today from a poster book (100 posters) ',objective
' August 17th RT @graceellisxo: Can t wait to see the Inbetweeners movie, Will has to be my favourite! When s it out ? ',positive
' Boise State, Chattanooga, Embry-Riddle and Virginia Tech receive their charters tonight, congrats and welcome gentlemen! #duli11 ',positive
' @702JohnRobbie , I don t feel the Rugby World Cup fever via 702, am I the only one? Isn t it Rugby Friday? ',negative
' Seriously waiting for tomorrows ep of True Blood tomorrow. Shits about to get real. ',positive
' Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special ',positive
' Hmm need to convert the euros I have left from Barcelona for Bristol on Tuesday. ',neutral
' Can t believe that Lloyd Robertson s last broadcast is tonight! End of an era. Who is gonna keep my grandma company at night!? ',negative
' MTA says it may close city subway if hurricane #Irene packs too big a punch. http://nyp.st/ptifPA  ',neutral
' why did i just hear some car driving slowly down 24th street blarring.............. Elvis Presley? ',negative
' Interviewer writes Hanif has "almost 3,000 followers on Twitter - people who eagerly wait for every word he types" ',neutral
' @Huda_Shami he s a very good looking guy. Is s3 on netflix? i think I m watching it tonight ',positive
' Strip club owner "guessing we ll make 5 times as much a night" .. "Republicans got plenty of money. They take it all from poor people" #DUH ',negative
' Saw at last Kung Fu Panda 2 yesterday with my cousins =)) ',positive
' she call me baby, I call her bae, sorry 4 the wait, Carter IV on the way! august 29th. hellllll yeahhh! (; ',positive
' Displeased with Lion, I may take this opportunity to learn Windows 7. Or Linux. Or poke myself in the eye. ',negative
' May or may not review the Rugby World Cup review, if it s good I might get the full game though. It s just installed as I press  tweet . ',neutral
' Did you know, Lady Gaga reads "Letters to a young poet" every morning? http://vipreads.com/lady-gaga  ',neutral
' Trynna go to the movies today and see "Rise of the Planet of the Apes !" ',neutral
' @skanyi10 @Alan_hicks Is Stadium Kanyi open tomrw for the opening ceremony and ABs Vs Tonga game? I happen to be off duty tomorrow :-) ',positive
' My brothers GF is on me to use her Netflix acct, because I love my movies. So I ll all for giving it a try tonight ',positive
' @CheyTiffy morning gorgeous u were rite i thought it was b/slisten to this nicki minaj did hhave domestics http://www.youtube.com/watch?v=N0DnpCuWTFQ … ',positive
' Can Silicon Valley Re-Charge Solar Energy?: Silicon Valley innovators Apple and Google may be the best hope left... http://bit.ly/rpth74  ',positive
' Vampire Diaries and Jersey Shore tonight. So first we see some hotties then we fist pump with hotties.. sounds great!!! :) ',positive
' Looking forward to Celebrity Juice tonight. ',positive
' So @NickHexum apparently just announced at PowWow #311Day is in Vegas and there is another cruise in May (to Hawaii). Too close together. ',neutral
' I love you all so much. Come join us on Saturday evening for the UGA v. Boise State game. Game is at 8pm, but we... http://fb.me/1hUsTfxLO  ',positive
' The Zags hold a 1-0 lead for 84 minutes to beat Boise State and win the Bronco Invite. Goal by Sarah Rhodes, her 3rd of the weekend. ',positive
' Last night for @CTV s Lloyd Robertson. A sad day for news, will miss that deep voice. #legendary ',negative
' Boehner proposes Obama speech be on the same night as NFL opening night... http://pwire.at/qMOoMi  ',objective
' RT @coupleBOOBS: Nicki Minaj - Pink Friday, up 15 places, to #16 on the Official UK Top 40 :) http://twitpic.com/62iohc ',positive
' Four Lions. Watch it on Channel 4. Tonight. At 8pm. Best film ever. I have this on my IPad. Never tired of it. http://yfrog.com/g0zydhnj  ',positive
' @Rastas4Jesus09 Droid Bionic, this Thursday. Never thought the day would come. ',positive
' Don t want to play one that s too long, what with Street Fighter III: 3rd Strike on Wednesday, and Deus Ex: Human Revolution on Friday. ',negative
' @buckwoody This tweet was poorly timed. Surely they d be hidden... RT @Windows 12 handy tips for Windows 7 that you may not know ',negative
' Real to sign Neymar in December - report - Bangkok Post: Real Madrid has reached a deal with Santos to sign gift... http://bit.ly/rnlf4P ',objective
' Final Destination 5 opens this Friday. Tell us about your closest brush with death for a chance to win a pair of... http://fb.me/10e1DsIMq ',objective
' Real Madrid have signed a seven-year-old Argentine boy, a spokesman for the club confirmed on Monday http://tinyurl.com/43ye3bh ',objective
' I m not going on holiday until the 25th because me and my dad wanted to watch the Inbetweeners movie when it came out LOL : ) - Georgia ',positive
' august is hot for albums. watch the throne. red album, and tha carter IV. #toomuch ',neutral
' One million people marched in London in the past six months. But they don t care until 1,000 Tottenhams tonight ~ http://arbolioto.blogspot.com/2011/07/you-are-not-alone-this-is-also-england.html?spref=tw … ',negative
' I think it s time to start calling the Democrats offices, demand they use the 14th now, don t cave to Nut Jobs. ',negative
' Except u re Charlie Sheen... RT @PrinceCBN: Is it true that you tell people  Top of the morning  only when you had sex the previous night? ',neutral
' no way to underestimate the madness and cynicism and frank and open loathing of country that characterizes today s Republicans ',negative
' Dear Tiger Woods, I need you to carry those last 3 holes over to Thursday. W/o NBA I m gonna need you to step up. Michael ',neutral
' Excited for the Raiders game tonight ',positive
' After a day at the lake me and my girl are getting ready to do Vegas big tonight! #blessed #freshtodeath ',positive
' Lloyd Robertson ended show with mention of his plaque from Stratford today. Joked that Bieber didn t get there 1st. #bieberbestedagain ',neutral
' Excellent performance by PJ Harvey last night! Hairs on back of neck stuff! Good company too with @ClareKirstin, @Fi and Andrea :) ',positive
' Repost: : Microsoft s TV subscription, if not rumored may launch with Apple s iCloud - International Business Times http://bit.ly/qol15p ',neutral
' We ll be tweeting live Summerslam updates next Sunday on-location at Staples Center for the 3rd straight year! Please spread the word! #wwe ',objective
' Week 1 NFL story lines: Steelers and Ravens, together again: Beyond the Packers-Saints opener Thursday, the high... http://bit.ly/osbha1  ',objective
' With the start of NFL Preseason upon us.. Tonight marks the beginning of the Raiders season, and the end of the Raiders postseason hopes. ',objective
' @pcam Mistakes and Assumptions were made. John Chambers, S&P, Proud Anti-American. ',negative
' if Twilight wins all the awards at the TCA s tonight, I will burn my Twilight posters k? ok. ',positive
' Microsoft & Nokia Holding a Get Together on August 17, 2011: August 17 could be the day we see an official annou... http://bit.ly/nUb8q4 ',objective
' Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans. ',positive
' @Broken_Prophet That is so Kieran BOOM! Lmao.. He is the number one terrorist, he goes boom at least 6 times a day lol. ',positive
' Gonna watch Final Destination 5 tonight. I always leave the theater so afraid of everything. No huge escalators for sure :S ',neutral
' @VittorioTafur Any word on when the Raiders will be releasing their depth chart for Thursday? ',neutral
' Kolchak the Night Stalker. Before the x-files, excellent scary tv. On Netflix huzah ',positive
' Pre-practice odds and ends: The Raiders return to practice today after an off day Sunday. The provisions set for... http://bit.ly/qdWJdZ ',neutral
' The GOP s greatest crime? @pwire: Boehner proposes Obama speech be on the same night as NFL opening night... http://pwire.at/qMOoMi  ',negative
' Eh, em...attention! True Blood is on tonight, oh yeah! Sink ur teeth into it! LOL ',positive
' Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans. ',positive
' :O INBETWEENERS MOVIE A WEEK TODAY!! Aaaahhhh! Might wear my wellies to the cinema cause I ll be  knee deep in clunge  ;) ',positive
' Today s #TriviaThrusday is the first I didn t have to look up.... Who doesn t know Steve Jobs worked at Atari! ',neutral
' @CharlieBlythe i m going on Big Brother s Bit On The Side next Tuesday! I thought you would appreciate this haha :) ',positive
' @Van_Gucci1 you wanna go see inbetweeners next wednesday? ',neutral
' USA Golf Today Bob Ryan: Tiger now a JAG (Just Another Guy): Bob Ryan of the  Boston Globe  called Tiger Woods ... http://usat.ly/mZDjVU ',negative
' Here is the nip slip that happened yesterday on Good Morning America....and Nicki Minaj is not happy but ABC has... http://fb.me/EVXID9e9 ',negative
' Increase Windows 7 Performance in 4 Easy Steps: ... complete with Windows 7, you may find you re lacking some po... http://bit.ly/pxL9Fl  ',neutral
' Gartner: Windows 7 on 94 percent of new PCs: by Steven Mostyn - Aug 10 2011, 07:48 Google may one day seek to sh... http://bit.ly/of7Syg ',neutral
' "Final Destination 5" opens Friday. If it does well, they ll film "FD6" and "FD7." So it s really more like "Qualifying Heat Destination 5." ',neutral
' Real Madrid and I are #TakingItToTheHouse tonight! #FIFA11 ',objective
' RT @blitzmegaplex: Kung Fu Panda 2 (in 2D & 3D, both with Indonesian subtitles) tentatively scheduled to open on Tues 16 August ^ISK #fb ',neutral
' Did I really have a debate about twilight last night? And I was team Edward??? ',negative
' Tiger Woods  former caddie Steve Williams made about $140,000 for his work with Adam Scott today. Tiger Woods  new caddie made $5,800 #golf ',neutral
' If Fabregas doesnt goto Barcelona this season he may never make his Dream switch with Alcantra already starting to seal his position #EPL ',negative
' Watching the Vampire Diaries from the beginning= a classic Saturday night. :D and with @TheJosie_F :) Lolz ',positive
' Final Destination 5, August 24. Death how we ve missed you. ',positive
' @peterfacinelli Good luck tonight @ The Teen Choice Awards :) i know Twilight is gonna take them all!! Ill b watching Xoxo ',positive
' Hide in country clubs all U want Boehner! ReverseRobocall.com launching soon & I m one of 1st in line! Join me. #launch http://reverserobocall.com/fl85d  ',positive
' [411Music] Dr. Conrad Murray to Take the Stand in Michael Jackson Murder Trial: Jury selection begins this Thursday... http://bit.ly/pfcev1  ',objective
' I saw Kayvan Novak tonight aka Phonejacker aka the guy from the film Four Lions. 1st thing I said to him was "Rubber Dingy Rapids brudda" ',neutral
' I had an awesome time at #SCKCS now it s on to work, Saturday nite in Vegas, this should be fun. ',positive
' media going mad for anderson silva in rio and its only wednesday , saturday is gonna be epic @ufc ',positive
' Going to see Rise Of The Planet Of The Apes next sunday. When @TomFelton first appears im going to shout "DRACO MALFOY!" :D x ',positive
' Good night. http://twitpic.com/62aptu  ',positive
' OMG really? Anything Microsoft keeps fucking freezing on my machine! What the fuck??? Today is NOT the day for this shit to happen. ',negative
' Girl singing the national anthem tonight is a Boise State student. I gave her a "Go Ducks" before she went out. Didn t seem to faze her. ',positive
' @datukhensem Good morning! ',positive
' Good football practice today. One day away from the saints game, and 1 week away from the anderson silva fight in rio!!!!! Can t wait!!!!!!! ',positive
' @_fatboyslim that s it?? ',neutral
' Nicki Miinaj Talks to Robin Roberts on Good Morning America: Nicki Minaj performed for the Good Morning America ... http://bit.ly/n6F3pC ',objective
' @BarackObama don t do it! He won t respect you! RT @thehill: Boehner asks Obama to move speech to Thursday http://ow.ly/6i345 ',negative
' Might have to make that Final Destination 5 move on friday... ',neutral
' I know one thing I can do tomorrow.. Write a blog post about my newly discovered love for Vampire Diaries! ',positive
' i quoted nicki minaj tonight and i m sorry and i know god will forgive me ',positive
' Tonga will perform the first haka at Eden Park on Friday; the All Blacks can choose to do their haka simultaneously or once Tonga finishes. ',objective
' Droid Bionic Confirmed for September 8th: While most of the United States had its eyes on the East cost last nig... http://bit.ly/nukvEu  ',objective
' Nokia N9 will not launch in the United States: Nokia confirmed on Tuesday that its flagship MeeGo-powered N9 sma... http://bit.ly/ojyWQa ',objective
' [411Music] Dr. Conrad Murray to Take the Stand in Michael Jackson Murder Trial: Jury selection begins this Thursday... http://bit.ly/pfcev1  ',objective
' I can stamp on Friday its goin be endless people at the movies to see Final Destination 5 ',neutral
' "@LeighFrancis: Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special" who s featuring ! The wait is too much ! Ooosh ',positive
' The MTA should be pretty embarrassed tonight. ',negative
' can t wait to see the anderson silva fight saturday woop woop ',positive
' The brilliant Drew Westen offers a great critique of the Obama presidency: http://www.nytimes.com/2011/08/07/opinion/sunday/what-happened-to-obamas-passion.html?pagewanted=4&ref=opinion … ',positive
