@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute neg_score real
@attribute neu_score real
@attribute pos_score real
@attribute compund_score real
@data
negative,0.414,0.586,0.0,-0.7469
positive,0.175,0.825,0.0,-0.5354
negative,0.0,1.0,0.0,0.0
negative,0.312,0.592,0.095,-0.765
positive,0.321,0.679,0.0,-0.6369
positive,0.0,0.625,0.375,0.4588
neutral,0.0,1.0,0.0,0.0
neutral,0.145,0.855,0.0,-0.5994
negative,0.213,0.787,0.0,-0.5574
negative,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.665,0.335,0.8209
negative,0.217,0.679,0.104,-0.3612
positive,0.0,0.761,0.239,0.5719
negative,0.187,0.813,0.0,-0.4574
neutral,0.0,1.0,0.0,0.0
negative,0.196,0.804,0.0,-0.5267
objective,0.0,1.0,0.0,0.0
objective,0.0,0.664,0.336,0.8779
positive,0.0,0.754,0.246,0.7371
neutral,0.0,0.84,0.16,0.5859
positive,0.0,0.664,0.336,0.7964
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.348,0.497,0.155,-0.7351
positive,0.0,1.0,0.0,0.0
positive,0.0,0.786,0.214,0.4574
negative,0.495,0.505,0.0,-0.9136
objective,0.168,0.717,0.115,-0.3612
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.889,0.111,0.3612
objective,0.0,1.0,0.0,0.0
neutral,0.179,0.821,0.0,-0.34
positive,0.0,0.923,0.077,0.25
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.123,0.442,0.435,0.8802
negative,0.18,0.82,0.0,-0.6908
negative,0.263,0.737,0.0,-0.6908
positive,0.0,0.734,0.266,0.4404
negative,0.114,0.639,0.248,0.5542
neutral,0.359,0.538,0.103,-0.6428
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.909,0.091,0.25
negative,0.0,0.769,0.231,0.5432
negative,0.0,0.769,0.231,0.6908
objective,0.13,0.87,0.0,-0.4019
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.758,0.242,0.4939
objective,0.0,1.0,0.0,0.0
positive,0.0,0.762,0.238,0.7871
objective,0.0,1.0,0.0,0.0
neutral,0.058,0.763,0.179,0.6124
objective,0.122,0.878,0.0,-0.4939
negative,0.233,0.767,0.0,-0.5514
objective,0.0,1.0,0.0,0.0
positive,0.092,0.669,0.239,0.6369
positive,0.0,0.813,0.187,0.4574
positive,0.0,0.732,0.268,0.765
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.734,0.266,0.504
positive,0.0,0.5,0.5,0.7177
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.847,0.153,0.5023
neutral,0.245,0.755,0.0,-0.4404
neutral,0.108,0.735,0.157,0.25
positive,0.0,0.683,0.317,0.6249
negative,0.104,0.669,0.227,0.5106
positive,0.0,0.8,0.2,0.4574
positive,0.0,0.859,0.141,0.3182
neutral,0.0,0.739,0.261,0.6486
neutral,0.0,0.898,0.102,0.3612
positive,0.0,1.0,0.0,0.0
positive,0.177,0.823,0.0,-0.6487
negative,0.169,0.579,0.252,0.25
positive,0.212,0.576,0.212,0.1491
negative,0.0,1.0,0.0,0.0
positive,0.086,0.627,0.287,0.6289
negative,0.0,1.0,0.0,0.0
positive,0.0,0.774,0.226,0.6643
neutral,0.097,0.661,0.241,0.4019
positive,0.0,0.743,0.257,0.7845
negative,0.074,0.775,0.151,0.4588
neutral,0.207,0.793,0.0,-0.6641
neutral,0.0,0.837,0.163,0.5106
objective,0.192,0.808,0.0,-0.7177
positive,0.0,0.701,0.299,0.7506
negative,0.163,0.837,0.0,-0.5106
negative,0.0,0.764,0.236,0.7579
positive,0.0,0.725,0.275,0.8209
negative,0.193,0.807,0.0,-0.5399
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.584,0.416,0.6908
negative,0.091,0.594,0.315,0.7506
neutral,0.278,0.722,0.0,-0.8271
negative,0.107,0.684,0.208,0.4767
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.686,0.314,0.8038
objective,0.0,1.0,0.0,0.0
objective,0.0,0.9,0.1,0.2732
negative,0.219,0.673,0.108,-0.5859
negative,0.056,0.882,0.062,0.0387
positive,0.0,0.736,0.264,0.7783
negative,0.423,0.577,0.0,-0.9097
positive,0.0,0.622,0.378,0.8356
neutral,0.0,0.847,0.153,0.4404
neutral,0.0,0.728,0.272,0.68
neutral,0.079,0.808,0.113,0.2115
negative,0.231,0.769,0.0,-0.5106
objective,0.0,1.0,0.0,0.0
positive,0.0,0.822,0.178,0.5696
negative,0.0,0.758,0.242,0.7717
negative,0.512,0.488,0.0,-0.6369
positive,0.0,0.674,0.326,0.4404
objective,0.0,1.0,0.0,0.0
negative,0.095,0.733,0.172,0.2023
positive,0.0,0.829,0.171,0.5719
positive,0.0,0.851,0.149,0.5927
positive,0.0,0.793,0.207,0.5267
positive,0.078,0.637,0.285,0.7828
objective,0.0,1.0,0.0,0.0
positive,0.0,0.652,0.348,0.8168
positive,0.0,0.549,0.451,0.6249
negative,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.151,0.725,0.124,-0.2244
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.074,0.813,0.113,0.2732
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.863,0.137,0.5859
neutral,0.198,0.802,0.0,-0.6908
objective,0.118,0.882,0.0,-0.4215
positive,0.0,0.845,0.155,0.5411
negative,0.113,0.887,0.0,-0.4215
positive,0.0,1.0,0.0,0.0
positive,0.0,0.501,0.499,0.958
positive,0.0,1.0,0.0,0.0
neutral,0.099,0.745,0.155,0.2263
objective,0.0,1.0,0.0,0.0
positive,0.0,0.625,0.375,0.9118
objective,0.0,1.0,0.0,0.0
positive,0.0,0.84,0.16,0.5859
objective,0.0,1.0,0.0,0.0
positive,0.0,0.646,0.354,0.7213
objective,0.188,0.617,0.194,0.0516
neutral,0.167,0.833,0.0,-0.34
neutral,0.071,0.755,0.175,0.4939
objective,0.0,1.0,0.0,0.0
positive,0.078,0.816,0.106,0.2023
positive,0.0,0.426,0.574,0.6597
objective,0.0,0.855,0.145,0.5994
positive,0.045,0.687,0.269,0.8192
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.45,0.55,0.7269
positive,0.0,0.7,0.3,0.8072
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.764,0.236,0.5255
neutral,0.116,0.735,0.149,0.4515
positive,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.173,0.733,0.094,-0.3612
positive,0.0,1.0,0.0,0.0
objective,0.0,0.909,0.091,0.0772
neutral,0.156,0.844,0.0,-0.34
positive,0.0,0.889,0.111,0.4559
positive,0.0,0.72,0.28,0.7906
negative,0.0,0.412,0.588,0.8201
positive,0.0,0.486,0.514,0.9153
positive,0.0,0.737,0.263,0.8479
positive,0.0,0.612,0.388,0.8353
negative,0.238,0.762,0.0,-0.802
neutral,0.0,0.77,0.23,0.4574
positive,0.0,0.613,0.387,0.6884
positive,0.0,1.0,0.0,0.0
positive,0.0,0.592,0.408,0.7345
neutral,0.0,0.909,0.091,0.3595
negative,0.145,0.855,0.0,-0.296
positive,0.0,0.482,0.518,0.9526
negative,0.0,1.0,0.0,0.0
objective,0.097,0.766,0.137,0.2484
negative,0.0,0.899,0.101,0.2023
positive,0.0,0.674,0.326,0.8271
positive,0.0,0.676,0.324,0.802
positive,0.0,0.673,0.327,0.8498
positive,0.0,0.798,0.202,0.5859
positive,0.0,0.856,0.144,0.4926
negative,0.339,0.661,0.0,-0.802
positive,0.0,0.83,0.17,0.6249
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.706,0.294,0.3612
negative,0.0,0.933,0.067,0.0772
positive,0.124,0.547,0.329,0.7909
neutral,0.0,0.82,0.18,0.5106
objective,0.0,1.0,0.0,0.0
positive,0.0,0.522,0.478,0.9289
positive,0.0,0.874,0.126,0.4374
positive,0.0,0.77,0.23,0.5093
neutral,0.0,1.0,0.0,0.0
objective,0.0,0.9,0.1,0.2732
positive,0.0,0.638,0.362,0.8953
positive,0.072,0.803,0.125,0.2648
positive,0.0,0.744,0.256,0.6678
objective,0.0,1.0,0.0,0.0
positive,0.0,0.426,0.574,0.8436
neutral,0.0,0.813,0.187,0.3182
positive,0.117,0.638,0.245,0.5848
positive,0.0,0.913,0.087,0.3164
positive,0.0,0.808,0.192,0.5528
negative,0.132,0.685,0.182,0.2714
positive,0.0,0.796,0.204,0.5549
objective,0.0,0.795,0.205,0.4754
positive,0.0,0.682,0.318,0.6808
negative,0.259,0.741,0.0,-0.743
negative,0.263,0.737,0.0,-0.7177
positive,0.0,0.476,0.524,0.6705
positive,0.0,0.856,0.144,0.4019
objective,0.0,1.0,0.0,0.0
negative,0.0,0.621,0.379,0.7263
positive,0.0,0.756,0.244,0.6369
negative,0.0,0.789,0.211,0.7303
negative,0.312,0.688,0.0,-0.7096
positive,0.0,0.58,0.42,0.7243
neutral,0.0,0.679,0.321,0.7959
positive,0.223,0.573,0.204,-0.0772
positive,0.0,1.0,0.0,0.0
positive,0.0,0.663,0.337,0.7269
positive,0.0,0.53,0.47,0.9349
negative,0.183,0.691,0.126,-0.1027
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.727,0.273,0.7574
positive,0.0,0.613,0.387,0.8585
positive,0.0,0.438,0.562,0.8395
positive,0.0,0.708,0.292,0.765
positive,0.182,0.818,0.0,-0.5499
negative,0.0,1.0,0.0,0.0
positive,0.103,0.655,0.241,0.4574
positive,0.0,1.0,0.0,0.0
positive,0.0,0.697,0.303,0.6988
positive,0.0,1.0,0.0,0.0
positive,0.0,0.831,0.169,0.5673
positive,0.0,0.854,0.146,0.5562
positive,0.126,0.698,0.176,0.2695
positive,0.0,0.595,0.405,0.6239
positive,0.0,0.757,0.243,0.6989
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.847,0.153,0.5598
positive,0.344,0.656,0.0,-0.3867
neutral,0.0,0.899,0.101,0.2023
neutral,0.069,0.931,0.0,-0.1045
positive,0.0,1.0,0.0,0.0
positive,0.099,0.695,0.205,0.4939
negative,0.102,0.845,0.053,-0.34
positive,0.0,0.838,0.162,0.5095
positive,0.105,0.758,0.137,0.2131
positive,0.0,1.0,0.0,0.0
neutral,0.042,0.865,0.093,0.3612
objective,0.0,0.874,0.126,0.0772
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.87,0.13,0.4019
objective,0.179,0.746,0.075,-0.4767
positive,0.0,1.0,0.0,0.0
objective,0.0,0.864,0.136,0.5106
positive,0.0,0.756,0.244,0.4404
neutral,0.0,0.842,0.158,0.4927
positive,0.07,0.784,0.147,0.4153
negative,0.108,0.776,0.116,0.0516
positive,0.0,0.724,0.276,0.8398
neutral,0.0,0.903,0.097,0.3544
positive,0.0,1.0,0.0,0.0
objective,0.106,0.603,0.291,0.6369
positive,0.0,0.605,0.395,0.908
neutral,0.0,0.833,0.167,0.4215
positive,0.161,0.839,0.0,-0.471
objective,0.0,0.909,0.091,0.34
positive,0.0,0.805,0.195,0.4404
negative,0.153,0.847,0.0,-0.5187
positive,0.0,0.891,0.109,0.4215
objective,0.0,1.0,0.0,0.0
positive,0.0,0.683,0.317,0.7835
objective,0.0,0.828,0.172,0.4019
positive,0.0,0.572,0.428,0.6696
positive,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.677,0.323,0.8225
negative,0.05,0.95,0.0,-0.0516
negative,0.0,0.626,0.374,0.5551
neutral,0.0,0.909,0.091,0.34
positive,0.0,0.785,0.215,0.6689
positive,0.066,0.934,0.0,-0.0516
neutral,0.0,1.0,0.0,0.0
positive,0.105,0.635,0.26,0.5667
objective,0.0,1.0,0.0,0.0
positive,0.074,0.759,0.167,0.5316
positive,0.072,0.432,0.496,0.9146
positive,0.0,0.709,0.291,0.8114
objective,0.079,0.921,0.0,-0.2023
neutral,0.099,0.786,0.116,0.0943
positive,0.0,0.844,0.156,0.34
neutral,0.0,0.786,0.214,0.5983
positive,0.072,0.796,0.132,0.3786
positive,0.253,0.529,0.218,-0.1531
positive,0.0,0.746,0.254,0.6996
negative,0.287,0.713,0.0,-0.7809
negative,0.0,1.0,0.0,0.0
neutral,0.0,0.751,0.249,0.743
positive,0.085,0.734,0.181,0.3612
positive,0.0,0.854,0.146,0.555
neutral,0.0,0.865,0.135,0.5994
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.634,0.366,0.886
objective,0.0,0.824,0.176,0.6298
positive,0.0,0.507,0.493,0.8309
neutral,0.179,0.821,0.0,-0.5399
neutral,0.0,0.898,0.102,0.3612
positive,0.0,0.746,0.254,0.7998
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.578,0.422,0.6258
neutral,0.086,0.709,0.205,0.4926
negative,0.0,1.0,0.0,0.0
positive,0.0,0.559,0.441,0.9429
positive,0.0,0.509,0.491,0.4389
positive,0.062,0.779,0.159,0.5388
neutral,0.223,0.777,0.0,-0.3786
neutral,0.138,0.737,0.124,-0.0772
positive,0.0,0.581,0.419,0.7351
neutral,0.0,1.0,0.0,0.0
negative,0.124,0.876,0.0,-0.3703
positive,0.0,1.0,0.0,0.0
positive,0.0,0.821,0.179,0.5719
positive,0.0,0.775,0.225,0.7696
objective,0.107,0.826,0.066,-0.25
positive,0.0,0.672,0.328,0.8516
positive,0.0,0.875,0.125,0.431
objective,0.113,0.887,0.0,-0.4215
objective,0.174,0.657,0.169,-0.0258
negative,0.368,0.464,0.168,-0.765
objective,0.0,0.888,0.112,0.34
positive,0.0,0.727,0.273,0.5423
positive,0.0,0.704,0.296,0.6369
positive,0.0,0.516,0.484,0.8571
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.876,0.124,0.4019
positive,0.0,0.592,0.408,0.7644
objective,0.0,1.0,0.0,0.0
positive,0.412,0.588,0.0,-0.6808
negative,0.366,0.634,0.0,-0.9022
negative,0.169,0.503,0.329,0.4825
negative,0.114,0.715,0.171,0.2945
neutral,0.197,0.803,0.0,-0.6625
positive,0.189,0.623,0.188,-0.0067
positive,0.0,0.878,0.122,0.2382
neutral,0.0,1.0,0.0,0.0
neutral,0.245,0.496,0.259,0.1189
neutral,0.092,0.711,0.197,0.3612
neutral,0.0,0.833,0.167,0.4215
objective,0.0,1.0,0.0,0.0
positive,0.0,0.821,0.179,0.5399
positive,0.0,0.85,0.15,0.4588
objective,0.0,1.0,0.0,0.0
objective,0.0,0.845,0.155,0.5106
positive,0.068,0.805,0.127,0.3382
negative,0.091,0.909,0.0,-0.296
objective,0.0,1.0,0.0,0.0
positive,0.0,0.743,0.257,0.7639
neutral,0.0,1.0,0.0,0.0
negative,0.0,0.702,0.298,0.5255
positive,0.0,0.693,0.307,0.6096
objective,0.0,0.882,0.118,0.34
neutral,0.0,0.692,0.308,0.8316
positive,0.0,0.807,0.193,0.555
positive,0.0,0.746,0.254,0.6239
negative,0.117,0.715,0.168,0.0941
positive,0.0,0.395,0.605,0.8936
positive,0.064,0.936,0.0,-0.2003
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.939,0.061,0.0772
positive,0.177,0.506,0.316,0.2732
positive,0.181,0.674,0.145,-0.4707
positive,0.0,1.0,0.0,0.0
positive,0.0,0.691,0.309,0.8221
neutral,0.12,0.734,0.147,0.4019
positive,0.0,0.467,0.533,0.6908
positive,0.0,0.625,0.375,0.8625
neutral,0.0,0.861,0.139,0.5719
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.097,0.903,0.0,-0.3527
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.756,0.244,0.6679
positive,0.0,0.51,0.49,0.9603
neutral,0.0,1.0,0.0,0.0
negative,0.175,0.825,0.0,-0.5255
positive,0.0,0.708,0.292,0.7482
neutral,0.098,0.702,0.2,0.4694
positive,0.0,1.0,0.0,0.0
objective,0.0,0.881,0.119,0.3182
positive,0.0,1.0,0.0,0.0
positive,0.0,0.741,0.259,0.7906
positive,0.0,0.8,0.2,0.6114
positive,0.0,0.679,0.321,0.8398
neutral,0.0,0.902,0.098,0.34
positive,0.081,0.571,0.349,0.8398
positive,0.0,0.489,0.511,0.8877
positive,0.106,0.642,0.253,0.5994
neutral,0.153,0.847,0.0,-0.5574
positive,0.0,0.787,0.213,0.6892
negative,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.138,0.862,0.0,-0.34
neutral,0.0,0.827,0.173,0.3182
objective,0.0,0.896,0.104,0.3976
positive,0.0,1.0,0.0,0.0
positive,0.0,0.783,0.217,0.3612
negative,0.302,0.417,0.281,-0.0516
positive,0.0,0.867,0.133,0.4118
neutral,0.097,0.821,0.082,-0.1027
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.145,0.698,0.157,0.0516
positive,0.0,0.867,0.133,0.3182
positive,0.0,1.0,0.0,0.0
negative,0.156,0.844,0.0,-0.34
negative,0.0,1.0,0.0,0.0
positive,0.0,0.667,0.333,0.6696
neutral,0.0,1.0,0.0,0.0
objective,0.268,0.732,0.0,-0.6688
neutral,0.088,0.541,0.372,0.6369
positive,0.0,1.0,0.0,0.0
objective,0.109,0.726,0.165,0.1027
neutral,0.0,0.885,0.115,0.4588
objective,0.0,0.852,0.148,0.5106
positive,0.0,0.706,0.294,0.7701
objective,0.0,1.0,0.0,0.0
positive,0.0,0.439,0.561,0.7506
positive,0.0,0.492,0.508,0.9075
positive,0.0,0.628,0.372,0.7964
positive,0.0,0.834,0.166,0.3786
negative,0.304,0.497,0.199,-0.1779
negative,0.0,1.0,0.0,0.0
positive,0.0,0.831,0.169,0.5673
positive,0.104,0.639,0.257,0.6748
positive,0.0,0.819,0.181,0.6249
neutral,0.0,1.0,0.0,0.0
negative,0.0,0.632,0.368,0.7506
objective,0.0,0.872,0.128,0.4199
positive,0.0,0.825,0.175,0.6671
positive,0.0,0.456,0.544,0.938
positive,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
objective,0.105,0.7,0.195,0.3182
positive,0.0,0.746,0.254,0.7983
positive,0.0,0.748,0.252,0.4003
negative,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
negative,0.151,0.734,0.115,-0.2023
negative,0.296,0.704,0.0,-0.5838
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.0,0.914,0.086,0.1779
negative,0.29,0.607,0.103,-0.6124
objective,0.0,1.0,0.0,0.0
positive,0.0,0.599,0.401,0.7707
negative,0.113,0.887,0.0,-0.4927
negative,0.227,0.773,0.0,-0.6249
positive,0.081,0.664,0.256,0.5719
positive,0.099,0.594,0.307,0.7405
negative,0.342,0.658,0.0,-0.8979
objective,0.199,0.801,0.0,-0.6093
positive,0.0,0.841,0.159,0.2225
positive,0.0,0.827,0.173,0.6105
positive,0.0,0.661,0.339,0.5562
positive,0.066,0.762,0.172,0.5647
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.648,0.352,0.8975
positive,0.0,0.823,0.177,0.5673
positive,0.151,0.618,0.231,0.2714
objective,0.0,0.818,0.182,0.4404
positive,0.0,1.0,0.0,0.0
positive,0.0,0.824,0.176,0.4588
negative,0.271,0.729,0.0,-0.3818
positive,0.0,0.667,0.333,0.7906
neutral,0.085,0.734,0.181,0.3612
positive,0.157,0.843,0.0,-0.6239
positive,0.0,0.808,0.192,0.6166
negative,0.231,0.769,0.0,-0.743
neutral,0.073,0.773,0.155,0.4215
positive,0.306,0.694,0.0,-0.3907
positive,0.0,0.896,0.104,0.4215
objective,0.247,0.753,0.0,-0.5574
objective,0.0,1.0,0.0,0.0
neutral,0.111,0.889,0.0,-0.4341
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.188,0.617,0.194,0.0516
positive,0.0,0.693,0.307,0.6103
positive,0.1,0.655,0.246,0.7297
positive,0.0,0.686,0.314,0.8268
objective,0.0,0.751,0.249,0.7424
positive,0.151,0.615,0.235,0.3612
positive,0.0,0.859,0.141,0.4215
objective,0.0,1.0,0.0,0.0
positive,0.0,0.874,0.126,0.4374
negative,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.509,0.491,0.891
objective,0.0,0.885,0.115,0.4574
positive,0.0,0.875,0.125,0.4588
negative,0.25,0.625,0.125,-0.34
positive,0.0,0.903,0.097,0.3802
objective,0.0,0.881,0.119,0.4019
neutral,0.081,0.919,0.0,-0.128
objective,0.0,0.695,0.305,0.836
positive,0.0,0.786,0.214,0.6239
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.121,0.799,0.08,-0.0191
neutral,0.0,1.0,0.0,0.0
neutral,0.117,0.587,0.296,0.5191
positive,0.207,0.377,0.416,0.7612
neutral,0.205,0.614,0.181,-0.1779
positive,0.123,0.566,0.311,0.7177
positive,0.0,0.653,0.347,0.4926
positive,0.0,0.901,0.099,0.296
neutral,0.0,0.893,0.107,0.34
positive,0.116,0.653,0.231,0.3802
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.23,0.652,0.117,-0.3818
neutral,0.153,0.753,0.093,-0.0913
positive,0.0,0.694,0.306,0.7934
negative,0.119,0.819,0.061,-0.4019
neutral,0.177,0.692,0.131,-0.3111
objective,0.0,1.0,0.0,0.0
positive,0.0,0.627,0.373,0.8788
positive,0.0,0.858,0.142,0.4572
positive,0.0,0.877,0.123,0.4215
negative,0.096,0.699,0.205,0.3612
positive,0.0,0.833,0.167,0.4588
positive,0.0,0.745,0.255,0.6249
positive,0.095,0.743,0.162,0.25
positive,0.0,0.791,0.209,0.6696
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.854,0.146,0.4404
neutral,0.127,0.759,0.114,-0.0772
negative,0.145,0.674,0.181,0.1739
positive,0.0,0.842,0.158,0.4588
positive,0.0,0.594,0.406,0.891
negative,0.183,0.691,0.126,-0.1027
neutral,0.0,1.0,0.0,0.0
negative,0.0,0.785,0.215,0.4767
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.499,0.501,0.952
neutral,0.13,0.87,0.0,-0.4003
positive,0.0,0.706,0.294,0.8283
positive,0.091,0.755,0.155,0.4019
positive,0.0,1.0,0.0,0.0
positive,0.0,0.667,0.333,0.3612
positive,0.0,0.514,0.486,0.5826
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.85,0.15,0.4588
positive,0.452,0.548,0.0,-0.8355
positive,0.0,0.796,0.204,0.7096
positive,0.0,0.788,0.212,0.6784
positive,0.0,0.791,0.209,0.6486
objective,0.0,0.786,0.214,0.7184
negative,0.138,0.862,0.0,-0.4939
positive,0.0,0.754,0.246,0.6784
neutral,0.103,0.897,0.0,-0.3182
positive,0.0,0.408,0.592,0.4404
positive,0.098,0.804,0.098,0.0
neutral,0.107,0.812,0.081,-0.1779
positive,0.0,0.717,0.283,0.835
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.392,0.608,0.7351
neutral,0.0,1.0,0.0,0.0
positive,0.08,0.92,0.0,-0.0772
positive,0.0,0.601,0.399,0.9356
objective,0.0,1.0,0.0,0.0
negative,0.0,0.616,0.384,0.7964
positive,0.0,0.585,0.415,0.796
negative,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.172,0.696,0.132,-0.0258
negative,0.189,0.811,0.0,-0.3612
positive,0.0,0.741,0.259,0.8424
positive,0.368,0.464,0.168,-0.5325
objective,0.0,0.901,0.099,0.3182
neutral,0.0,1.0,0.0,0.0
negative,0.238,0.762,0.0,-0.3612
neutral,0.139,0.754,0.107,-0.2023
positive,0.0,0.783,0.217,0.7269
neutral,0.0,0.8,0.2,0.6114
positive,0.0,0.731,0.269,0.8114
negative,0.0,0.888,0.112,0.4404
positive,0.0,0.811,0.189,0.54
positive,0.052,0.644,0.305,0.7845
objective,0.0,1.0,0.0,0.0
positive,0.0,0.724,0.276,0.7269
positive,0.0,0.718,0.282,0.7424
neutral,0.0,0.889,0.111,0.128
objective,0.0,0.83,0.17,0.5972
positive,0.0,0.471,0.529,0.8779
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.468,0.532,0.7788
objective,0.0,0.878,0.122,0.3612
positive,0.0,0.811,0.189,0.6369
positive,0.402,0.598,0.0,-0.6908
positive,0.119,0.814,0.067,-0.3442
positive,0.0,0.757,0.243,0.7717
objective,0.0,0.823,0.177,0.4215
negative,0.0,0.904,0.096,0.3252
positive,0.0,0.825,0.175,0.5574
positive,0.0,0.811,0.189,0.5411
positive,0.0,0.721,0.279,0.4753
positive,0.0,0.865,0.135,0.5053
positive,0.0,0.827,0.173,0.3182
positive,0.0,1.0,0.0,0.0
positive,0.27,0.73,0.0,-0.5318
positive,0.158,0.737,0.105,-0.3365
positive,0.082,0.918,0.0,-0.1531
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.858,0.142,0.5374
objective,0.0,1.0,0.0,0.0
positive,0.0,0.709,0.291,0.5719
positive,0.0,0.776,0.224,0.3804
positive,0.085,0.612,0.303,0.7506
positive,0.0,0.893,0.107,0.3903
positive,0.191,0.629,0.18,-0.101
negative,0.196,0.707,0.096,-0.4767
negative,0.228,0.772,0.0,-0.7579
objective,0.0,0.851,0.149,0.6369
positive,0.0,0.68,0.32,0.8834
positive,0.0,0.909,0.091,0.3182
positive,0.0,0.715,0.285,0.7767
positive,0.235,0.497,0.268,0.2924
negative,0.134,0.813,0.053,-0.4019
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.803,0.197,0.4019
neutral,0.0,0.854,0.146,0.4738
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.843,0.157,0.5994
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.651,0.349,0.8934
negative,0.119,0.881,0.0,-0.2244
positive,0.0,0.334,0.666,0.6114
objective,0.0,1.0,0.0,0.0
positive,0.0,0.671,0.329,0.9059
objective,0.0,1.0,0.0,0.0
negative,0.187,0.813,0.0,-0.5574
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.726,0.274,0.5267
positive,0.0,0.748,0.252,0.7506
negative,0.0,1.0,0.0,0.0
positive,0.0,0.796,0.204,0.6249
positive,0.0,0.857,0.143,0.541
positive,0.0,0.844,0.156,0.3802
neutral,0.0,0.741,0.259,0.6369
positive,0.365,0.544,0.091,-0.794
positive,0.0,1.0,0.0,0.0
negative,0.082,0.819,0.1,0.128
positive,0.0,0.909,0.091,0.25
objective,0.0,0.85,0.15,0.3182
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.819,0.181,0.6369
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.864,0.136,0.5106
neutral,0.218,0.782,0.0,-0.6908
positive,0.0,0.735,0.265,0.7574
neutral,0.0,0.878,0.122,0.2023
positive,0.0,1.0,0.0,0.0
negative,0.171,0.829,0.0,-0.3612
